accident_id,date_time,location_lat,location_lon,severity,temperature,rain,visibility,Speed_Limit,traffic
A-7307294,2019-12-10 07:34:34,28.17606,-82.39201,1.0,21.8,1.0,2.0,70,0
A-2490901,2018-10-01 04:34:17,35.761417,-119.238922,1.0,25.05,0.0,10.0,60,1
A-6545259,2021-01-30 15:14:23,45.302065,-121.7462,1.0,0.6,8.0,10.0,25,1
A-4590165,2022-10-14 22:27:17,40.846059,-73.930479,1.0,14.9,10.0,10.0,45,1
A-5623799,2021-11-10 22:33:19,37.871369,-75.558504,1.0,16.25,0.0,10.0,40,1
A-7528000,2018-10-30 16:24:01,34.33692,-117.25912,1.0,15.1,0.0,10.0,65,1
A-3116516,2017-12-08 16:00:56,41.751995,-87.96725500000002,1.0,-3.15,0.0,10.0,40,1
A-378128,2017-02-16 17:50:07,38.802006,-77.163635,2.0,1.2,0.4,10.0,65,0
A-2483463,2018-11-27 07:32:44,31.776508000000003,-106.225082,1.0,8.0,0.0,10.0,60,1
A-2431240,2018-11-04 22:41:28,25.98505,-80.16546600000002,2.0,25.8,2.4,10.0,45,0
A-309036,2016-10-26 12:46:56,47.635887,-122.228004,1.0,11.6,13.2,9.0,25,1
A-4856900,2022-10-15 11:28:00,34.44978833,-118.42359424,1.0,19.85,0.8,10.0,65,0
A-6200394,2021-09-26 15:17:30,38.913531,-76.850453,1.0,18.05,0.0,10.0,55,0
A-4708908,2022-02-27 18:32:30,34.076692,-118.219389,1.0,15.05,0.0,10.0,65,0
A-6665540,2020-10-29 23:17:48,42.935804,-78.904033,1.0,8.45,1.1,10.0,25,1
A-7551224,2018-08-23 00:00:24,25.73778,-80.38459,2.0,27.2,5.0,10.0,65,0
A-6251839,2021-03-29 07:40:50,28.449911,-81.480513,1.0,23.7,0.8,0.5,50,0
A-6358024,2021-02-08 23:52:00,27.098573,-82.38450300000002,1.0,20.6,0.9,10.0,50,0
A-4433896,2023-01-25 14:35:00,28.467188,-80.801384,1.0,24.0,0.8,7.0,40,1
A-338021,2017-02-24 06:29:28,37.44928,-122.123245,1.0,6.95,0.0,10.0,45,1
A-4624434,2021-12-31 16:09:30,40.838239,-73.933702,1.0,9.2,1.1,8.0,40,1
A-775424,2021-12-16 21:29:07,34.153255,-118.6521,1.0,8.6,0.0,4.0,40,1
A-5316151,2023-02-05 21:10:30,41.387154,-73.497075,1.0,-1.2,0.0,10.0,55,0
A-5495882,2021-05-29 23:49:40,34.061732,-81.173354,1.0,25.45,0.3,10.0,35,1
A-6062090,2021-11-27 15:20:55,33.913326,-84.286528,1.0,6.85,0.0,10.0,45,1
A-140961,2016-09-08 11:33:18,28.465607,-81.27565799999998,1.0,25.9,0.0,10.0,45,1
A-290837,2016-10-13 21:44:20,29.653435,-95.445572,1.0,26.1,0.0,10.0,50,0
A-2977576,2018-03-29 03:16:00,33.770603,-117.985657,1.0,16.0,0.0,10.0,50,1
A-1828277,2019-11-18 08:59:27,32.806572,-96.840332,2.0,12.15,0.0,10.0,30,0
A-4106065,2022-11-15 13:59:00,30.412138,-91.080348,1.0,12.65,46.5,10.0,45,1
A-4219159,2022-01-28 07:09:30,33.855694,-117.787199,1.0,18.5,0.0,10.0,5,1
A-4732527,2022-09-22 11:38:00,40.768284,-73.692161,1.0,20.65,6.4,4.0,55,0
A-618064,2022-05-18 17:34:09,36.15332,-95.922523,0.0,27.0,1.8,10.0,25,2
A-2698194,2018-07-11 07:48:21,28.346886,-81.673508,1.0,26.75,8.2,10.0,5,1
A-2205084,2019-03-06 17:43:14,33.55299,-112.058746,1.0,21.2,0.0,10.0,25,1
A-2026512,2019-08-16 10:29:08,41.047195,-73.803398,1.0,22.25,0.0,10.0,55,1
A-1733157,2019-12-23 06:59:03,34.50687,-81.936279,1.0,7.25,37.7,4.0,40,1
A-6688283,2020-10-16 13:17:30,25.909895,-80.236127,1.0,25.35,32.3,10.0,40,1
A-3405329,2017-08-28 13:31:14,35.844048,-78.614098,1.0,21.85,3.3,10.0,25,1
A-4354607,2022-07-03 14:32:03,32.852409,-96.672823,1.0,30.85,3.5,10.0,30,1
A-800002,2021-11-30 05:26:12,35.076744,-89.95121800000004,1.0,12.35,0.0,10.0,45,1
A-2597015,2018-09-20 08:02:11,35.97736,-86.56235500000004,1.0,27.15,0.0,10.0,40,1
A-5477043,2021-12-27 04:19:30,39.51748967151872,-119.63230490627464,1.0,-0.95,11.0,9.0,35,1
A-1105444,2021-03-26 20:56:53,36.765781,-119.77771,1.0,12.95,0.0,10.0,45,1
A-5885558,2021-09-16 08:43:00,25.733,-80.336792,1.0,26.1,16.8,10.0,35,1
A-3260760,2017-10-23 09:16:37,41.873112,-71.39057199999998,2.0,15.55,0.2,0.2,65,0
A-5685276,2021-12-22 13:03:45,35.149711,-80.834503,1.0,7.9,0.5,10.0,30,1
A-2780512,2018-06-25 07:47:40,35.861828,-78.54888199999998,1.0,28.25,0.4,10.0,45,1
A-2541381,2018-10-24 06:38:03,35.754738,-109.627014,1.0,9.2,0.0,10.0,60,1
A-3779719,2022-07-15 08:48:30,41.575638,-87.26675300000002,1.0,20.1,14.1,7.0,55,0
A-2511338,2018-10-11 16:44:39,42.319405,-87.856148,1.0,12.25,0.1,10.0,35,1
A-461322,2017-06-16 13:33:50,34.071758,-118.09948,2.0,24.85,0.0,10.0,30,0
A-3750105,2022-05-25 17:10:49,25.942293,-80.30808499999998,1.0,27.9,0.0,10.0,45,1
A-6972285,2020-11-18 21:34:03,40.246342,-75.647348,1.0,1.8,0.0,10.0,25,1
A-2664143,2018-08-23 15:40:49,34.989628,-82.24294300000003,1.0,22.3,0.0,10.0,45,1
A-4768026,2023-01-14 15:44:00,42.96671,-85.6722,1.0,-3.55,0.0,10.0,25,1
A-5819401,2021-11-10 18:21:00,28.330924,-82.678113,1.0,20.3,0.3,10.0,50,0
A-917941,2021-08-31 18:06:28,41.850979,-71.40862299999998,1.0,24.05,0.0,10.0,55,1
A-7037968,2020-05-19 14:16:20,39.1475,-84.53904,1.0,17.2,69.4,10.0,55,1
A-3359748,2017-08-06 17:03:27,35.156223,-89.879974,2.0,26.2,4.8,10.0,55,0
A-691227,2022-03-02 16:29:18,37.239342,-81.10619399999999,2.0,10.1,0.0,10.0,70,0
A-1351776,2020-10-21 21:00:31,33.940735,-117.261536,1.0,20.2,0.0,10.0,40,1
A-4047219,2022-11-23 13:39:00,38.971164,-77.179063,1.0,8.0,0.0,10.0,65,0
A-3721202,2022-12-30 20:32:56,41.77234769,-87.90726542,1.0,6.4,0.7,9.0,60,0
A-579770,2022-06-29 16:47:09,36.649361,-82.08602900000002,2.0,22.55,0.6,10.0,45,0
A-5459919,2023-02-23 14:49:00,36.98759,-121.969538,1.0,5.25,2.3,10.0,30,1
A-6721378,2020-12-26 03:30:00,37.187537,-120.971608,1.0,11.85,1.6,10.0,60,0
A-4841569,2022-02-25 16:46:21,42.387796640194,-122.38174080790336,1.0,-0.75,0.0,10.0,65,0
A-4302284,2023-01-06 11:19:00,40.709355,-122.335056,1.0,7.5,22.9,10.0,65,0
A-3270441,2017-10-26 12:33:05,32.155109,-111.106033,1.0,24.85,0.0,10.0,4,1
A-6902354,2020-11-24 17:28:06,46.885085,-114.039245,1.0,2.6,0.0,10.0,45,1
A-562328,2022-07-19 08:54:42,41.649418,-72.672035,2.0,27.0,4.7,10.0,65,0
A-2757150,2018-06-12 06:06:44,33.412071000000005,-86.758507,2.0,25.85,2.5,10.0,70,0
A-821718,2021-11-12 16:58:22,29.53054,-95.1325,2.0,18.5,0.0,10.0,65,0
A-5074227,2022-10-01 12:38:00,38.860254,-77.219886,1.0,15.95,22.5,6.0,45,1
A-6878800,2020-09-14 02:20:00,40.864838,-74.42056,1.0,21.05,0.0,10.0,65,0
A-7348608,2019-10-20 13:13:00,32.88428,-117.22787,1.0,18.1,0.0,10.0,65,0
A-3253940,2017-10-18 06:36:52,33.884083000000004,-117.637878,1.0,24.45,0.0,10.0,65,1
A-1273647,2020-11-10 11:14:49,32.919033,-96.766014,1.0,20.35,1.1,10.0,70,1
A-3438321,2016-08-08 14:17:47,41.648481,-93.773213,1.0,22.8,0.0,10.0,35,1
A-3575266,2017-02-28 17:50:56,41.8079,-88.07599,2.0,10.8,6.0,6.0,45,0
A-6764371,2020-11-24 00:01:00,34.003793,-118.277515,1.0,15.5,0.0,6.0,30,1
A-922294,2021-08-27 10:00:46,44.948635,-92.959137,1.0,22.3,25.6,10.0,30,1
A-6838986,2020-12-16 08:52:00,30.507696000000006,-87.326374,1.0,13.25,14.4,6.0,35,1
A-6206062,2021-09-28 19:40:00,36.053452,-86.672874,1.0,22.5,0.0,10.0,40,1
A-5061653,2023-01-25 05:50:38,37.712126,-89.894184,1.0,2.15,29.5,4.0,70,0
A-1905699,2019-09-11 09:42:59,34.501141,-82.251427,1.0,27.65,0.1,10.0,40,1
A-5438044,2023-01-24 07:28:00,27.713609,-82.679349,1.0,17.5,0.0,10.0,65,0
A-2985852,2018-02-02 06:44:22,35.730362,-81.364487,1.0,4.05,3.1,10.0,50,1
A-3212023,2017-11-28 07:54:17,39.652641,-104.91803,2.0,8.25,0.0,10.0,60,0
A-6207778,2021-12-17 07:57:00,40.260619,-121.32791,1.0,-2.4,0.0,80.0,55,0
A-4080036,2022-05-20 13:09:30,39.536568,-119.807728,1.0,13.4,0.0,10.0,30,1
A-2418906,2018-12-28 04:23:54,26.54697,-81.788338,1.0,25.3,0.3,9.0,45,1
A-23431,2016-10-06 15:20:01,37.588497,-122.246201,1.0,18.0,0.0,10.0,60,1
A-3407996,2017-08-29 14:47:46,35.442863,-80.87487,1.0,20.9,0.4,10.0,45,1
A-4566219,2022-04-26 19:27:30,25.572286,-80.377155,1.0,25.3,0.5,10.0,40,1
A-1279525,2020-11-05 18:41:14,40.768085,-73.705917,2.0,12.6,0.0,10.0,50,0
A-7046278,2020-05-22 19:22:59,35.62364,-97.54953,2.0,23.85,0.1,10.0,40,0
A-4285342,2023-01-04 14:29:02,39.644793,-86.074124,1.0,9.65,0.1,10.0,50,0
A-1949686,2019-07-03 08:02:20,44.218197,-88.544151,1.0,23.5,0.2,10.0,50,1
A-5572285,2021-03-14 07:35:08,32.544849,-80.744343,1.0,20.4,0.0,10.0,5,1
A-3878312,2022-08-21 19:49:00,33.898136,-118.105141,1.0,24.5,0.0,10.0,65,0
A-3029543,2018-02-23 04:01:54,39.013489,-77.042068,2.0,5.9,3.9,4.0,30,0
A-2348809,2019-01-21 08:18:41,38.21022,-85.665741,1.0,-10.55,0.0,10.0,5,1
A-5535750,2021-04-19 04:31:30,32.643445,-96.779667,1.0,14.5,0.0,10.0,45,1
A-6851907,2020-12-03 00:44:00,43.059129,-77.523333,1.0,4.2,0.0,10.0,35,1
A-4001676,2022-08-25 15:29:00,34.998845,-79.21909000000002,1.0,23.95,2.0,4.0,45,1
A-6584403,2020-11-11 18:36:00,30.232016,-97.765992,1.0,20.55,0.0,10.0,35,1
A-4569685,2022-04-14 18:09:01,32.676218,-96.857926,1.0,16.85,0.0,10.0,70,0
A-1302223,2020-09-17 10:20:28,35.76792899999999,-78.574097,1.0,21.0,51.7,4.0,35,1
A-211288,2016-10-12 06:44:02,42.523651,-70.996178,1.0,13.3,0.0,10.0,50,0
A-173846,2016-10-03 18:27:58,42.46616,-88.01715899999998,1.0,16.0,0.0,10.0,30,1
A-7472482,2019-01-30 13:39:33,36.74061,-121.65862,1.0,13.75,0.1,10.0,65,0
A-652658,2022-04-12 18:36:11,35.46244,-80.737648,1.0,19.35,0.0,10.0,45,1
A-3643813,2017-07-16 03:32:57,41.7009,-70.119828,1.0,22.15,0.0,7.0,35,1
A-1264303,2020-11-16 07:10:22,33.8778,-80.696442,1.0,15.5,0.0,10.0,45,1
A-5427994,2022-01-31 17:12:00,34.430326223209235,-117.37736105862912,1.0,8.9,0.0,10.0,70,0
A-1662444,2020-02-21 09:13:17,33.901825,-117.46671299999998,1.0,19.6,0.0,10.0,60,1
A-389267,2017-03-08 09:09:36,30.315893,-97.662956,1.0,16.7,1.0,10.0,45,1
A-7016415,2020-05-08 17:52:23,40.25772,-75.65619000000002,1.0,8.9,8.3,3.0,25,1
A-4886964,2022-11-20 14:09:00,33.967172999999995,-118.229834,1.0,15.4,0.0,10.0,25,1
A-6534956,2021-01-02 10:30:03,32.907067,-96.728514,1.0,6.7,0.0,13.0,70,0
A-6924603,2020-11-23 22:42:40,29.983375,-95.286175,1.0,18.8,0.0,8.0,55,0
A-7360798,2019-10-29 05:25:00,33.93918,-117.172352,1.0,14.25,0.0,10.0,65,1
A-5669146,2021-12-22 18:48:30,37.649617,-77.602522,1.0,6.2,3.0,10.0,4,1
A-3436107,2016-10-05 16:24:58,29.72523,-95.46022,2.0,26.8,0.8,10.0,60,0
A-5907165,2021-04-15 07:32:30,35.536497,-82.604042,1.0,13.35,0.1,10.0,55,0
A-4901208,2022-08-02 16:55:00,34.024374,-117.746929,1.0,25.45,0.0,10.0,50,0
A-181598,2016-12-28 08:08:27,42.963123,-85.673698,1.0,-1.6,0.0,10.0,30,1
A-6956384,2020-11-06 05:59:41,29.725431,-95.476394,1.0,19.05,0.0,10.0,60,0
A-2913171,2018-04-27 13:46:21,35.017399,-85.294159,2.0,14.2,3.2,10.0,25,0
A-6132404,2021-07-10 20:18:43,27.853738,-82.63884300000002,1.0,27.0,1.2,10.0,45,1
A-6116481,2021-10-14 05:19:30,39.335278,-77.377608,1.0,20.3,0.0,0.25,70,0
A-4135044,2022-03-23 06:12:30,39.225668,-76.717054,1.0,8.7,4.3,10.0,65,0
A-6023074,2021-09-17 10:40:00,29.77035,-90.815397,1.0,26.05,7.0,10.0,40,1
A-2139051,2019-05-02 10:33:36,36.152351,-86.769012,1.0,21.3,13.6,10.0,35,1
A-7634757,2018-01-18 13:38:29,32.910713,-80.02770699999998,1.0,0.7,0.1,10.0,50,1
A-5753027,2021-06-04 16:51:51,43.955924,-91.658064,1.0,25.15,0.0,10.0,70,0
A-6241884,2021-08-28 16:29:30,38.992518,-76.986915,1.0,26.95,2.3,10.0,40,1
A-3626046,2017-07-06 12:28:46,44.95143,-93.02203,1.0,27.25,1.8,10.0,30,1
A-5132822,2022-06-29 14:58:30,34.344301,-118.50464,1.0,26.95,0.0,10.0,60,0
A-4856551,2022-04-29 17:40:43,34.114745,-80.888674,1.0,18.45,0.0,10.0,35,1
A-747114,2022-01-14 16:10:26,36.144241,-86.695099,2.0,3.75,0.0,10.0,70,0
A-2266468,2019-02-05 02:26:28,33.968304,-117.848915,1.0,9.1,6.2,5.0,50,1
A-7350093,2019-10-21 15:26:00,33.876717,-118.185972,1.0,24.0,0.0,10.0,65,1
A-2191438,2019-04-26 03:22:15,37.903481,-122.070457,1.0,17.4,0.0,10.0,65,1
A-5905962,2021-08-28 19:28:00,36.094503,-86.62486899999998,1.0,26.7,4.5,10.0,40,1
A-1019937,2021-06-03 09:13:40,37.552509,-122.308151,1.0,16.9,0.0,10.0,60,1
A-1305559,2020-09-19 19:58:28,27.581997,-82.582634,2.0,26.95,0.3,10.0,60,0
A-1284132,2020-11-03 22:21:46,32.267025,-86.354919,2.0,11.0,0.0,9.0,65,0
A-5617699,2021-11-04 06:17:30,34.044825,-118.216047,1.0,18.85,0.0,3.0,65,0
A-874856,2021-10-05 15:16:57,39.160149,-94.49691,1.0,18.05,0.1,10.0,65,1
A-3368057,2017-08-10 12:44:59,40.736889,-73.582993,1.0,22.25,0.1,10.0,50,1
A-6359872,2021-02-17 05:42:30,27.300548,-82.49762700000002,1.0,20.2,1.7,6.0,45,1
A-5858166,2021-03-15 18:08:33,45.251899,-92.921169,1.0,0.4,3.5,1.0,55,0
A-6785505,2020-09-15 00:02:30,40.843166,-78.13492600000002,1.0,12.5,0.0,10.0,40,1
A-6525519,2021-01-05 17:15:27,25.887117,-80.12218399999998,1.0,17.7,0.0,10.0,30,1
A-3185055,2017-11-14 09:07:47,29.701569,-95.371841,1.0,19.2,0.0,9.0,35,1
A-229976,2016-12-07 18:45:30,40.382397,-75.390701,1.0,4.75,6.9,10.0,4,1
A-6534097,2021-02-14 04:01:00,33.62858176215349,-113.75318169539568,1.0,15.3,0.0,10.0,55,0
A-782379,2021-12-13 10:55:05,37.863491,-122.035759,2.0,12.15,53.9,3.0,65,0
A-7054006,2020-06-23 14:54:00,34.072786,-118.466447,1.0,19.5,0.0,8.0,35,1
A-5973856,2021-12-14 13:57:00,35.199543,-119.003201,1.0,10.15,23.8,4.0,60,0
A-1479112,2020-05-22 20:14:15,32.359821000000004,-86.245003,1.0,24.95,7.9,9.0,60,0
A-1443217,2020-07-01 18:47:23,42.379162,-83.21620899999998,2.0,24.4,0.0,10.0,50,0
A-4812773,2022-04-23 02:18:42,37.894206,-104.829116,1.0,12.95,1.2,10.0,50,0
A-7014784,2020-05-07 08:59:20,36.16787,-86.82079,1.0,12.0,0.0,10.0,35,1
A-1358645,2020-10-26 08:18:05,39.599613,-119.837349,1.0,-0.1,0.0,10.0,40,1
A-7015498,2020-05-06 21:50:00,35.358807,-118.932003,1.0,23.5,0.0,10.0,60,1
A-5022528,2022-02-04 15:48:16,40.076604,-75.127021,1.0,8.0,22.9,6.0,35,1
A-6465354,2021-02-22 10:08:41,39.46047100000001,-77.512183,1.0,-0.45,8.4,2.0,65,0
A-6499733,2021-01-22 23:22:06,27.755024,-82.725167,1.0,17.05,0.0,10.0,35,1
A-4094647,2022-04-06 07:29:30,39.534549,-119.81576,1.0,12.1,0.0,10.0,35,1
A-5485856,2021-12-10 07:51:00,34.201121,-118.471025,1.0,10.15,0.1,10.0,35,1
A-4850820,2022-01-21 06:37:52,39.145284,-77.66999,1.0,-7.55,0.0,10.0,40,1
A-5240831,2022-08-20 14:58:32,43.022284,-78.13764300000003,1.0,23.15,0.0,10.0,65,0
A-4185842,2022-04-21 17:36:01,28.447594,-81.47094200000002,1.0,22.3,0.3,10.0,30,1
A-276494,2016-11-03 18:00:43,30.339247,-97.687286,1.0,24.35,20.4,10.0,40,1
A-2545073,2018-10-26 10:52:08,40.853439,-73.96347,2.0,6.1,0.0,10.0,45,0
A-6756262,2020-12-16 15:58:00,36.703676,-119.7274,1.0,7.0,0.0,6.0,45,1
A-3527080,2016-12-16 09:50:46,34.052609999999994,-118.22647,1.0,14.5,19.7,10.0,50,0
A-2504783,2018-10-08 06:52:25,33.841877000000004,-80.731941,1.0,25.35,0.9,10.0,55,1
A-3984735,2022-12-22 08:27:38,40.00084519,-75.82346319999998,1.0,2.65,9.1,4.0,55,0
A-5582764,2021-09-10 13:02:00,37.52149,-109.4941,1.0,25.15,0.0,10.0,5,1
A-4478841,2022-05-17 12:29:30,32.829341,-96.8257,1.0,29.8,0.0,10.0,35,1
A-6515654,2021-01-30 20:51:07,44.836718,-93.398278,1.0,-2.75,0.1,7.0,60,0
A-4098454,2022-09-05 07:38:00,29.354818,-98.527266,1.0,27.7,0.4,10.0,65,0
A-5909176,2021-08-29 12:17:30,37.50281,-77.722326,1.0,26.65,1.3,10.0,35,1
A-5150158,2022-12-06 08:02:00,33.899216,-84.47131800000002,1.0,12.3,16.3,1.0,55,0
A-1405375,2020-07-30 07:49:20,33.364574,-82.076797,1.0,26.7,8.8,10.0,40,1
A-5474541,2021-12-12 16:25:30,30.180986,-81.7396,1.0,19.85,0.1,10.0,65,0
A-6399694,2021-02-09 21:12:33,45.506433,-122.715429,1.0,1.65,0.0,10.0,50,0
A-241773,2016-11-14 07:58:08,40.072372,-76.268105,1.0,8.55,0.0,7.0,35,1
A-6922951,2020-11-03 04:16:00,33.807169,-118.207023,1.0,18.9,0.0,1.0,30,1
A-4436136,2022-02-26 21:03:30,34.042949,-118.272635,1.0,12.35,0.0,10.0,40,1
A-2398318,2018-12-14 16:13:26,30.394621,-97.706596,1.0,7.8,0.5,10.0,35,1
A-6439570,2021-02-20 13:49:00,37.758668,-122.212405,1.0,10.8,1.4,10.0,60,0
A-492874,2017-07-21 20:45:53,37.585072,-121.872681,2.0,18.25,0.0,10.0,65,0
A-3946680,2022-06-01 10:45:35,43.870013,-95.114077,1.0,14.5,0.0,10.0,30,1
A-7549796,2018-08-17 14:57:14,37.163121,-121.664068,2.0,25.6,0.0,10.0,65,0
A-7209374,2020-03-03 09:21:02,39.78431,-105.11665,2.0,0.7,0.0,10.0,65,0
A-3177021,2017-11-09 08:51:36,31.291983,-89.303436,1.0,14.15,8.9,10.0,30,1
A-2490733,2018-10-01 09:38:31,45.576553,-122.643944,1.0,18.2,0.5,10.0,35,1
A-1448137,2020-05-26 11:24:26,41.857899,-88.138573,1.0,23.5,0.4,10.0,35,1
A-5457713,2022-12-16 18:24:25,41.35087,-81.490338,1.0,1.95,1.2,9.0,35,1
A-230519,2016-12-12 08:00:13,38.910633,-77.21751400000002,2.0,4.8,5.6,10.0,50,0
A-6227648,2021-12-08 19:39:44,44.114427,-121.291871,1.0,6.45,0.0,10.0,45,1
A-1713289,2019-12-12 14:26:14,34.024059,-117.335464,1.0,12.85,0.0,7.0,65,1
A-3622164,2017-05-22 08:56:17,37.40328,-122.04709,1.0,20.35,0.0,10.0,45,1
A-4950221,2022-07-13 16:54:00,42.167492,-87.8714,1.0,22.85,3.1,10.0,5,1
A-529943,2022-08-23 03:40:33,34.130871,-117.92896299999998,1.0,26.95,0.0,9.0,65,1
A-3440527,2016-08-31 08:46:13,29.66438,-95.4639,1.0,28.55,1.6,10.0,5,1
A-4429055,2022-09-26 16:46:26,33.586732,-84.510786,1.0,21.9,0.5,10.0,50,0
A-1958987,2019-07-09 06:57:41,39.011238,-122.895859,1.0,20.25,0.0,10.0,55,1
A-2249787,2019-02-28 10:23:29,25.94183,-80.350319,2.0,22.65,3.3,10.0,60,0
A-5877652,2021-06-01 12:23:00,38.500721,-122.757702,1.0,21.8,0.0,10.0,45,1
A-6774037,2020-10-17 22:08:00,38.395725,-122.357085,1.0,27.45,0.0,10.0,50,0
A-3181185,2017-11-13 15:12:42,41.817032,-71.398689,2.0,3.6,3.7,4.0,55,0
A-6097056,2021-12-13 15:07:00,35.215731,-80.84637,1.0,6.45,0.0,10.0,25,1
A-4128974,2022-06-21 20:49:33,44.334747,-121.011596,1.0,16.3,0.0,10.0,40,1
A-4026073,2022-12-20 18:02:30,45.318466,-111.785913,1.0,-8.1,0.0,10.0,60,0
A-4690045,2022-11-04 09:28:18,39.168724,-84.424242,1.0,17.55,0.0,10.0,35,1
A-6716091,2020-11-05 01:24:00,44.552791,-121.167887,1.0,13.5,0.1,10.0,45,1
A-5370958,2022-09-12 13:59:00,39.955773,-76.718532,1.0,23.35,2.4,10.0,35,1
A-2518631,2018-10-15 06:47:18,41.892159,-87.652725,2.0,7.35,6.8,10.0,35,0
A-5290650,2022-11-20 02:29:00,33.708014,-84.204806,1.0,5.2,0.0,10.0,45,1
A-3278680,2017-08-31 06:51:38,32.924423,-96.769058,2.0,25.45,0.0,10.0,40,0
A-1869521,2019-09-20 16:33:35,41.058548,-73.828552,2.0,17.05,0.0,10.0,45,0
A-3332198,2017-09-25 05:47:05,34.34729,-117.46883400000002,2.0,15.85,0.0,10.0,60,0
A-2429780,2018-11-02 06:10:35,47.232819,-122.436134,2.0,14.1,11.2,10.0,60,0
A-2905519,2018-04-24 19:25:44,27.967489,-82.56750500000003,1.0,22.7,3.6,10.0,5,1
A-3911120,2022-04-01 14:21:35,25.890073,-80.190478,1.0,26.15,12.1,10.0,35,1
A-6760193,2020-12-16 22:38:23,35.252563,-80.734501,1.0,2.85,20.4,5.0,40,1
A-257035,2016-06-24 16:18:24,40.161396,-75.47995,1.0,23.0,0.5,9.0,35,1
A-4062625,2022-02-16 01:45:00,38.177649,-120.947056,1.0,9.1,0.0,10.0,65,0
A-4774925,2022-10-17 14:54:21,40.09864926,-83.1390059,1.0,9.85,0.1,10.0,30,1
A-6831627,2020-12-03 22:12:03,42.144523,-87.825135,1.0,2.25,0.0,10.0,65,0
A-7467215,2019-01-22 09:38:21,40.47072,-74.43254,2.0,-6.05,0.0,10.0,55,0
A-6270515,2021-06-27 12:34:00,33.934795,-118.038703,1.0,23.55,0.0,10.0,4,1
A-2679107,2018-08-30 06:57:53,39.81282,-105.025299,1.0,23.15,0.0,30.0,35,1
A-5897804,2021-06-16 11:49:00,32.72995591148028,-117.10763812009284,1.0,21.85,0.0,10.0,65,0
A-3557056,2017-02-01 22:21:51,29.87203,-95.40891,2.0,19.4,0.1,10.0,60,0
A-3779771,2022-10-13 14:48:10,40.766868,-74.22423,1.0,17.0,6.1,10.0,55,0
A-7019089,2020-05-09 18:17:47,33.91876,-84.338,2.0,11.1,0.5,10.0,40,0
A-3425721,2016-12-08 11:33:45,29.62256,-95.19761,1.0,12.25,7.4,10.0,50,0
A-747730,2022-01-14 08:36:14,39.964291,-75.596649,1.0,2.8,0.0,10.0,25,1
A-41709,2016-06-09 12:51:04,38.574223,-121.406075,1.0,21.55,0.0,10.0,40,1
A-7230405,2020-01-19 06:36:00,38.387133,-122.741543,1.0,8.7,0.0,10.0,40,1
A-2010331,2019-08-07 15:55:27,40.699623,-111.902473,2.0,29.5,0.4,10.0,70,0
A-3607469,2017-04-10 17:34:56,34.13539,-118.00448,1.0,17.5,0.0,10.0,65,0
A-3929009,2022-12-16 15:54:25,41.067973,-81.504305,1.0,2.4,1.3,10.0,35,1
